,number,region,area
0,HE12,BM,Bukit Merah
1,HLM,OT,gay
2,RHM,BM,Bukit Merah
3,BM29,BM,Bukit Merah
4,Q81,QT,Queenstown
5,C20,CL,Clementi
6,FR3M,BT,Bukit Timah
7,C32,CL,Clementi
8,C6,CL,Clementi
9,TG2,JE,Jurong East
10,BP1,BM,Bukit Merah
11,TG1,JE,Jurong East
12,TGM2,JE,Jurong East
13,TE14,BM,Bukit Merah
14,BM3,BM,Bukit Merah
15,BM9,BM,Bukit Merah
16,HG44,HG,Hougang
17,HG64,HG,Hougang
18,PM27,PR,Pasir Ris
19,PM28,PR,Pasir Ris
20,TM36,TM,Tampines
21,TM37,TM,Tampines
22,T50,TM,Tampines
23,T51,TM,Tampines
24,TM43,TM,Tampines
25,T15,TM,Tampines
26,T16,TM,Tampines
27,T17,TM,Tampines
28,T18,TM,Tampines
29,B9,BD,Bedok
30,B10,BD,Bedok
31,B14,BD,Bedok
32,WCB,RC,gay
33,ACB,RC,gay
34,CY,RC,gay
35,AM46,AM,Ang Mo Kio
36,A12,AM,Ang Mo Kio
37,BE45,BS,Bishan
38,BE39,BS,Bishan
39,BE40,BS,Bishan
40,CR29,RC,gay
41,KLM,RC,gay
42,SE34,SG,Serangoon
43,KB7,KL,Kallang/Whampoa
44,SE31,SG,Serangoon
45,J56,JE,Jurong East
46,J57,JE,Jurong East
47,J57L,JE,Jurong East
48,J33,JW,Jurong West
49,J34,JW,Jurong West
50,BL8,JW,Jurong West
51,BL8,JW,Jurong West
52,J36,JW,Jurong West
53,J54,JW,Jurong West
54,J55,JW,Jurong West
55,J43,JW,Jurong West
56,J46,JW,Jurong West
57,KB1,KL,Kallang/Whampoa
58,KB1,KL,Kallang/Whampoa
59,GBM,KL,Kallang/Whampoa
60,GBM,KL,Kallang/Whampoa
61,SE14,SG,Serangoon
62,SE50,SG,Serangoon
63,J40,JW,Jurong West
64,JM1,JW,Jurong West
65,J32,JW,Jurong West
66,A11,AM,Ang Mo Kio
67,TR1,KL,Kallang/Whampoa
68,JBM,BM,Bukit Merah
69,TE2,BM,Bukit Merah
70,CR31,RC,gay
71,J1,JE,Jurong East
72,J2,JE,Jurong East
73,J3,JE,Jurong East
74,T37,TM,Tampines
75,KB3,KL,Kallang/Whampoa
76,KBM,KL,Kallang/Whampoa
77,J4,JE,Jurong East
78,TGM1,JE,Jurong East
79,TG3,JE,Jurong East
80,TG6,JE,Jurong East
81,TG7,JE,Jurong East
82,CR30,RC,gay
83,RCM,RC,gay
84,EPM,BM,Bukit Merah
85,TGM3,JE,Jurong East
86,KB14,KL,Kallang/Whampoa
87,J41,JW,Jurong West
88,JBM2,BM,Bukit Merah
89,J39,JW,Jurong West
90,J52,JW,Jurong West
91,J51,JW,Jurong West
92,J53,JW,Jurong West
93,T19,TM,Tampines
94,J49,JW,Jurong West
95,J27,JW,Jurong West
96,TB14,BM,Bukit Merah
97,U19,BK,Bukit Batok
98,U6,BK,Bukit Batok
99,U45,BK,Bukit Batok
100,BBM7,BK,Bukit Batok
101,BE12,BS,Bishan
102,HG41,HG,Hougang
